acquisition_function,dataset_name,model_name,mean_and_stats_for_last_iter,cycle,budget
entropy,yeast-1_vs_7,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.21517071164129983, 'Precision_std': 0.11822014242594545, 'Recall_mean': 0.3666666666666666, 'Recall_std': 0.18257418583505536, 'F1-score_mean': 0.25746276875634794, 'F1-score_std': 0.10438627933824468, 'Accuracy_mean': 0.8582895365504062, 'Accuracy_std': 0.04121931494172486, 'Labelled Samples_mean': 86.0, 'Labelled Samples_std': 0.0}",4,50
entropy,yeast3,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.6924884404723114, 'Precision_std': 0.16958976570896664, 'Recall_mean': 0.4961174242424242, 'Recall_std': 0.18749705066040742, 'F1-score_mean': 0.5541488362093177, 'F1-score_std': 0.15879744060346881, 'Accuracy_mean': 0.9167610792610793, 'Accuracy_std': 0.025753185441478605, 'Labelled Samples_mean': 168.0, 'Labelled Samples_std': 0.0}",4,50
entropy,yeast-0-2-5-6_vs_3-7-8-9,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.2437297722916918, 'Precision_std': 0.2068707755831926, 'Recall_mean': 0.2918421052631579, 'Recall_std': 0.2176939564255388, 'F1-score_mean': 0.2521284635287821, 'F1-score_std': 0.20241894287828116, 'Accuracy_mean': 0.8181492537313433, 'Accuracy_std': 0.07332396096669015, 'Labelled Samples_mean': 130.0, 'Labelled Samples_std': 0.0}",4,50
entropy,kr-vs-k-one_vs_fifteen,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.6265265151515151, 'Precision_std': 0.4235982528456911, 'Recall_mean': 0.6900000000000001, 'Recall_std': 0.42088696027951894, 'F1-score_mean': 0.6243090698561823, 'F1-score_std': 0.39246286103272876, 'Accuracy_mean': 0.9632273106904232, 'Accuracy_std': 0.045369460275272076, 'Labelled Samples_mean': 229.0, 'Labelled Samples_std': 0.0}",4,50
entropy,page-blocks0,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.24617452887169908, 'Precision_std': 0.12068834632139551, 'Recall_mean': 0.651230694980695, 'Recall_std': 0.18290739936289002, 'F1-score_mean': 0.33354431174194743, 'F1-score_std': 0.11999829332118245, 'Accuracy_mean': 0.66811683487349, 'Accuracy_std': 0.2299197380284627, 'Labelled Samples_mean': 487.0, 'Labelled Samples_std': 0.0}",4,50
entropy,glass-0-1-5_vs_2,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.05966666666666666, 'Precision_std': 0.10480375546941927, 'Recall_mean': 0.15833333333333333, 'Recall_std': 0.23057228854941259, 'F1-score_mean': 0.07157509157509157, 'F1-score_std': 0.10124628707471221, 'Accuracy_mean': 0.6968067226890756, 'Accuracy_std': 0.18603438536093936, 'Labelled Samples_mean': 63.0, 'Labelled Samples_std': 0.0}",4,50
entropy,kr-vs-k-zero-one_vs_draw,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.7188703703703704, 'Precision_std': 0.33068578718945324, 'Recall_mean': 0.680952380952381, 'Recall_std': 0.2978464739523626, 'F1-score_mean': 0.6679667776808046, 'F1-score_std': 0.2724648038273893, 'Accuracy_mean': 0.9748335212772272, 'Accuracy_std': 0.021631573567390577, 'Labelled Samples_mean': 282.0, 'Labelled Samples_std': 0.0}",4,50
entropy,led7digit-0-2-4-5-6-7-8-9_vs_1,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.47377450980392155, 'Precision_std': 0.4695943827353965, 'Recall_mean': 0.5446428571428571, 'Recall_std': 0.3931501432625865, 'F1-score_mean': 0.45304336468129575, 'F1-score_std': 0.41612834472689336, 'Accuracy_mean': 0.8425306435137895, 'Accuracy_std': 0.20948623558216206, 'Labelled Samples_mean': 85.0, 'Labelled Samples_std': 0.0}",4,50
entropy,dermatology-6,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.8333333333333333, 'Precision_std': 0.22222222222222224, 'Recall_mean': 0.95, 'Recall_std': 0.105409255338946, 'F1-score_mean': 0.8800000000000001, 'F1-score_std': 0.1686548085423136, 'Accuracy_mean': 0.9833333333333332, 'Accuracy_std': 0.023424278964210253, 'Labelled Samples_mean': 78.0, 'Labelled Samples_std': 0.0}",4,50
entropy,yeast1,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.4016295936740904, 'Precision_std': 0.06915826865264735, 'Recall_mean': 0.5305335157318741, 'Recall_std': 0.15089158102615016, 'F1-score_mean': 0.44633755580384166, 'F1-score_std': 0.07511011484675391, 'Accuracy_mean': 0.6270463645463645, 'Accuracy_std': 0.07017285040900043, 'Labelled Samples_mean': 168.0, 'Labelled Samples_std': 0.0}",4,50
entropy,yeast-0-2-5-7-9_vs_3-6-8,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.46884900037705224, 'Precision_std': 0.32181420129212246, 'Recall_mean': 0.5113157894736842, 'Recall_std': 0.31430217496356394, 'F1-score_mean': 0.46328754901857083, 'F1-score_std': 0.2821594360918383, 'Accuracy_mean': 0.8789203980099503, 'Accuracy_std': 0.06974122046033322, 'Labelled Samples_mean': 130.0, 'Labelled Samples_std': 0.0}",4,50
entropy,vowel0,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.6100721827192415, 'Precision_std': 0.22235537074298328, 'Recall_mean': 0.7555555555555555, 'Recall_std': 0.26215316102498354, 'F1-score_mean': 0.6386411029122027, 'F1-score_std': 0.17359664839478456, 'Accuracy_mean': 0.9201071630005639, 'Accuracy_std': 0.05072069935717098, 'Labelled Samples_mean': 129.0, 'Labelled Samples_std': 0.0}",4,50
entropy,yeast5,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.3240910431158109, 'Precision_std': 0.2140542519412046, 'Recall_mean': 0.3875, 'Recall_std': 0.20311889961294236, 'F1-score_mean': 0.3319532134532134, 'F1-score_std': 0.1779790701703941, 'Accuracy_mean': 0.9528426153426153, 'Accuracy_std': 0.019163195562438628, 'Labelled Samples_mean': 168.0, 'Labelled Samples_std': 0.0}",4,50
entropy,vehicle0,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.730679335483088, 'Precision_std': 0.131122173610046, 'Recall_mean': 0.40166666666666667, 'Recall_std': 0.11260590505460528, 'F1-score_mean': 0.5079818454031347, 'F1-score_std': 0.10294866103791654, 'Accuracy_mean': 0.8215175774451792, 'Accuracy_std': 0.030111675786761483, 'Labelled Samples_mean': 117.0, 'Labelled Samples_std': 0.0}",4,50
entropy,winequality-white-3-9_vs_5,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.03981791155704198, 'Precision_std': 0.05969953928170899, 'Recall_mean': 0.08, 'Recall_std': 0.10327955589886445, 'F1-score_mean': 0.05072150072150071, 'F1-score_std': 0.07085746881297518, 'Accuracy_mean': 0.9025377650377651, 'Accuracy_std': 0.12011750367743151, 'Labelled Samples_mean': 168.0, 'Labelled Samples_std': 0.0}",4,50
entropy,winequality-red-4,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.08728809837505486, 'Precision_std': 0.06740838709993692, 'Recall_mean': 0.2381818181818182, 'Recall_std': 0.2457648618282488, 'F1-score_mean': 0.11586830061041017, 'F1-score_std': 0.09939758696109464, 'Accuracy_mean': 0.8924402429467084, 'Accuracy_std': 0.05729367362733292, 'Labelled Samples_mean': 177.2, 'Labelled Samples_std': 0.4216370213557856}",4,50
entropy,vehicle1,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.392290798556505, 'Precision_std': 0.12440918892039156, 'Recall_mean': 0.4510570824524313, 'Recall_std': 0.15025641985527863, 'F1-score_mean': 0.4044390059482656, 'F1-score_std': 0.10972777899082951, 'Accuracy_mean': 0.6613087365123564, 'Accuracy_std': 0.09653789400227832, 'Labelled Samples_mean': 117.0, 'Labelled Samples_std': 0.0}",4,50
entropy,yeast4,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.1389772727272727, 'Precision_std': 0.08565562871693701, 'Recall_mean': 0.2581818181818182, 'Recall_std': 0.202745163861528, 'F1-score_mean': 0.16262811495239335, 'F1-score_std': 0.08781616935275575, 'Accuracy_mean': 0.9073630448630448, 'Accuracy_std': 0.06867983490905397, 'Labelled Samples_mean': 168.0, 'Labelled Samples_std': 0.0}",4,50
entropy,shuttle-c0-vs-c4,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.9246141636141637, 'Precision_std': 0.11540760415989099, 'Recall_mean': 1.0, 'Recall_std': 0.0, 'F1-score_mean': 0.957186264336243, 'F1-score_std': 0.06757653957116616, 'Accuracy_mean': 0.9934321431244854, 'Accuracy_std': 0.010734805735077076, 'Labelled Samples_mean': 196.0, 'Labelled Samples_std': 0.0}",4,50
entropy,yeast6,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.12690603360360392, 'Precision_std': 0.09150104053773099, 'Recall_mean': 0.45714285714285713, 'Recall_std': 0.28412255028907235, 'F1-score_mean': 0.1888851150831873, 'F1-score_std': 0.1299789683679576, 'Accuracy_mean': 0.8998703248703249, 'Accuracy_std': 0.09883597250377481, 'Labelled Samples_mean': 168.0, 'Labelled Samples_std': 0.0}",4,50
entropy,vehicle3,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.35817169606605564, 'Precision_std': 0.1096798196224864, 'Recall_mean': 0.4162236987818383, 'Recall_std': 0.1830507893640671, 'F1-score_mean': 0.3633954391594732, 'F1-score_std': 0.09173546112396537, 'Accuracy_mean': 0.6500278454577098, 'Accuracy_std': 0.07688433700977101, 'Labelled Samples_mean': 117.0, 'Labelled Samples_std': 0.0}",4,50
entropy,ecoli-0-1_vs_5,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.4858021390374332, 'Precision_std': 0.34676381718126703, 'Recall_mean': 0.7, 'Recall_std': 0.2838231060987733, 'F1-score_mean': 0.5298809523809523, 'F1-score_std': 0.28346496344614747, 'Accuracy_mean': 0.8854166666666666, 'Accuracy_std': 0.08906774540542123, 'Labelled Samples_mean': 69.0, 'Labelled Samples_std': 0.0}",4,50
entropy,vehicle2,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.6735403970862857, 'Precision_std': 0.16205385315583073, 'Recall_mean': 0.7165433403805497, 'Recall_std': 0.14502056807809716, 'F1-score_mean': 0.6743265772661953, 'F1-score_std': 0.10997240678660757, 'Accuracy_mean': 0.8132335537765402, 'Accuracy_std': 0.10276333796833625, 'Labelled Samples_mean': 117.0, 'Labelled Samples_std': 0.0}",4,50
entropy,ecoli-0-6-7_vs_3-5,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.5392063492063491, 'Precision_std': 0.3070005686026738, 'Recall_mean': 0.825, 'Recall_std': 0.22267315359812312, 'F1-score_mean': 0.5902828282828283, 'F1-score_std': 0.26593516733270567, 'Accuracy_mean': 0.8048484848484849, 'Accuracy_std': 0.26908005205547186, 'Labelled Samples_mean': 67.0, 'Labelled Samples_std': 0.0}",4,50
entropy,glass2,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.02142857142857142, 'Precision_std': 0.06776309271789381, 'Recall_mean': 0.075, 'Recall_std': 0.23717082451262844, 'F1-score_mean': 0.03333333333333333, 'F1-score_std': 0.10540925533894598, 'Accuracy_mean': 0.8596345514950166, 'Accuracy_std': 0.06160061896476638, 'Labelled Samples_mean': 67.0, 'Labelled Samples_std': 0.0}",4,50
entropy,page-blocks-1-3_vs_4,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.33238095238095233, 'Precision_std': 0.3964239238966812, 'Recall_mean': 0.3566666666666667, 'Recall_std': 0.4337747039963955, 'F1-score_mean': 0.31825951825951826, 'F1-score_std': 0.3761952148605001, 'Accuracy_mean': 0.9417469204927211, 'Accuracy_std': 0.037859432951333524, 'Labelled Samples_mean': 87.0, 'Labelled Samples_std': 0.0}",4,50
entropy,kddcup-buffer_overflow_vs_back,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.7259478672985782, 'Precision_std': 0.414003057542122, 'Recall_mean': 0.6, 'Recall_std': 0.3865006029094685, 'F1-score_mean': 0.566154873164219, 'F1-score_std': 0.3889248002188749, 'Accuracy_mean': 0.8993368846620721, 'Accuracy_std': 0.2955753636983563, 'Labelled Samples_mean': 228.0, 'Labelled Samples_std': 0.0}",4,50
entropy,glass0,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.43247354497354495, 'Precision_std': 0.3508135638206804, 'Recall_mean': 0.3642857142857142, 'Recall_std': 0.2744815768943733, 'F1-score_mean': 0.33726760780718734, 'F1-score_std': 0.20132104289884628, 'Accuracy_mean': 0.6197674418604651, 'Accuracy_std': 0.12316170483864293, 'Labelled Samples_mean': 67.0, 'Labelled Samples_std': 0.0}",4,50
