Cycle,Class,Precision,Recall,F1-score,Accuracy,Confusion Matrix,Labelled Samples
0,acc,0.8142857142857143,0.7402597402597403,0.7755102040816325,0.8728323699421965,"[[57, 4, 14, 2], [1, 8, 2, 3], [7, 1, 234, 0], [5, 4, 1, 3]]",188
0,good,0.47058823529411764,0.5714285714285714,0.5161290322580646,0.8728323699421965,"[[57, 4, 14, 2], [1, 8, 2, 3], [7, 1, 234, 0], [5, 4, 1, 3]]",188
0,unacc,0.9322709163346613,0.9669421487603306,0.949290060851927,0.8728323699421965,"[[57, 4, 14, 2], [1, 8, 2, 3], [7, 1, 234, 0], [5, 4, 1, 3]]",188
0,vgood,0.375,0.23076923076923078,0.2857142857142857,0.8728323699421965,"[[57, 4, 14, 2], [1, 8, 2, 3], [7, 1, 234, 0], [5, 4, 1, 3]]",188
1,acc,0.8055555555555556,0.7532467532467533,0.778523489932886,0.8728323699421965,"[[58, 4, 14, 1], [0, 10, 0, 4], [8, 2, 231, 1], [6, 4, 0, 3]]",238
1,good,0.5,0.7142857142857143,0.588235294117647,0.8728323699421965,"[[58, 4, 14, 1], [0, 10, 0, 4], [8, 2, 231, 1], [6, 4, 0, 3]]",238
1,unacc,0.9428571428571428,0.9545454545454546,0.9486652977412731,0.8728323699421965,"[[58, 4, 14, 1], [0, 10, 0, 4], [8, 2, 231, 1], [6, 4, 0, 3]]",238
1,vgood,0.3333333333333333,0.23076923076923078,0.27272727272727276,0.8728323699421965,"[[58, 4, 14, 1], [0, 10, 0, 4], [8, 2, 231, 1], [6, 4, 0, 3]]",238
2,acc,0.8088235294117647,0.7142857142857143,0.7586206896551725,0.8786127167630058,"[[55, 3, 16, 3], [1, 9, 0, 4], [5, 0, 235, 2], [7, 1, 0, 5]]",288
2,good,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.8786127167630058,"[[55, 3, 16, 3], [1, 9, 0, 4], [5, 0, 235, 2], [7, 1, 0, 5]]",288
2,unacc,0.9362549800796812,0.9710743801652892,0.9533468559837728,0.8786127167630058,"[[55, 3, 16, 3], [1, 9, 0, 4], [5, 0, 235, 2], [7, 1, 0, 5]]",288
2,vgood,0.35714285714285715,0.38461538461538464,0.3703703703703704,0.8786127167630058,"[[55, 3, 16, 3], [1, 9, 0, 4], [5, 0, 235, 2], [7, 1, 0, 5]]",288
3,acc,0.7894736842105263,0.7792207792207793,0.7843137254901961,0.884393063583815,"[[60, 1, 13, 3], [2, 9, 0, 3], [7, 1, 233, 1], [7, 2, 0, 4]]",338
3,good,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.884393063583815,"[[60, 1, 13, 3], [2, 9, 0, 3], [7, 1, 233, 1], [7, 2, 0, 4]]",338
3,unacc,0.9471544715447154,0.9628099173553719,0.9549180327868854,0.884393063583815,"[[60, 1, 13, 3], [2, 9, 0, 3], [7, 1, 233, 1], [7, 2, 0, 4]]",338
3,vgood,0.36363636363636365,0.3076923076923077,0.33333333333333337,0.884393063583815,"[[60, 1, 13, 3], [2, 9, 0, 3], [7, 1, 233, 1], [7, 2, 0, 4]]",338
4,acc,0.8266666666666667,0.8051948051948052,0.8157894736842106,0.9075144508670521,"[[62, 4, 8, 3], [1, 10, 0, 3], [6, 0, 235, 1], [6, 0, 0, 7]]",388
4,good,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.9075144508670521,"[[62, 4, 8, 3], [1, 10, 0, 3], [6, 0, 235, 1], [6, 0, 0, 7]]",388
4,unacc,0.9670781893004116,0.9710743801652892,0.9690721649484535,0.9075144508670521,"[[62, 4, 8, 3], [1, 10, 0, 3], [6, 0, 235, 1], [6, 0, 0, 7]]",388
4,vgood,0.5,0.5384615384615384,0.5185185185185186,0.9075144508670521,"[[62, 4, 8, 3], [1, 10, 0, 3], [6, 0, 235, 1], [6, 0, 0, 7]]",388
5,acc,0.810126582278481,0.8311688311688312,0.8205128205128205,0.9104046242774566,"[[64, 3, 7, 3], [1, 11, 0, 2], [6, 1, 235, 0], [8, 0, 0, 5]]",438
